id	day
cell_5568	6.75
cell_5586	6.75
cell_5590	6.75
cell_5601	6.75
cell_5606	6.75
cell_5621	6.75
cell_5652	6.75
cell_5657	6.75
cell_5658	6.75
cell_5668	6.75
cell_5677	6.75
cell_5678	6.75
cell_5683	6.75
cell_5710	6.75
cell_5711	6.75
cell_5718	6.75
cell_5731	6.75
cell_5732	6.75
cell_5753	6.75
cell_5758	6.75
cell_5759	6.75
cell_5764	6.75
cell_5765	6.75
cell_5769	6.75
cell_5782	6.75
cell_5785	6.75
cell_5794	6.75
cell_5795	6.75
cell_5805	6.75
cell_5806	6.75
cell_5807	6.75
cell_5818	6.75
cell_5825	6.75
cell_5832	6.75
cell_5845	6.75
cell_5848	6.75
cell_5849	6.75
cell_5852	6.75
cell_5854	6.75
cell_5861	6.75
cell_5862	6.75
cell_5872	6.75
cell_5874	6.75
cell_5876	6.75
cell_5891	6.75
cell_5898	6.75
cell_5900	6.75
cell_5919	6.75
cell_5923	6.75
cell_5942	6.75
cell_5948	6.75
cell_5966	6.75
cell_5973	6.75
cell_5987	6.75
cell_5993	6.75
cell_5998	6.75
cell_6004	6.75
cell_6013	6.75
cell_6018	6.75
cell_6028	6.75
cell_6032	6.75
cell_6042	6.75
cell_6045	6.75
cell_6048	6.75
cell_6051	6.75
cell_6071	6.75
cell_6073	6.75
cell_6079	6.75
cell_6095	6.75
cell_6104	6.75
cell_6105	6.75
cell_6109	6.75
cell_6110	6.75
cell_6135	6.75
cell_6164	6.75
cell_6174	6.75
cell_6177	6.75
cell_6186	6.75
cell_6197	6.75
cell_6208	6.75
cell_6209	6.75
cell_6212	6.75
cell_6214	6.75
cell_6224	6.75
cell_6227	6.75
cell_6248	6.75
cell_6253	6.75
cell_6265	6.75
cell_6277	6.75
cell_6284	6.75
cell_6293	6.75
cell_6297	6.75
cell_6313	6.75
cell_6319	6.75
cell_6329	6.75
cell_6331	6.75
cell_6342	6.75
cell_6361	6.75
cell_6365	6.75
cell_6374	6.75
cell_6376	6.75
cell_6379	6.75
cell_6397	6.75
cell_6402	6.75
cell_6413	6.75
cell_6422	6.75
cell_6424	6.75
cell_6454	6.75
cell_6464	6.75
cell_6482	6.75
cell_6483	6.75
cell_6506	6.75
cell_6511	6.75
cell_6521	6.75
cell_6528	6.75
cell_6535	6.75
cell_6536	6.75
cell_6569	6.75
cell_6590	6.75
cell_6591	6.75
cell_6609	6.75
cell_6624	6.75
cell_6660	6.75
cell_6716	6.75
cell_6722	6.75
cell_6736	6.75
cell_6787	6.75
cell_6791	6.75
cell_6801	6.75
cell_6809	6.75
cell_6817	6.75
cell_6819	6.75
cell_6821	6.75
cell_6831	6.75
cell_6834	6.75
cell_6837	6.75
cell_6839	6.75
cell_6849	6.75
cell_6853	6.75
cell_6876	6.75
cell_6877	6.75
cell_6903	6.75
cell_6907	6.75
cell_6926	6.75
cell_6933	6.75
cell_6941	6.75
cell_6948	6.75
cell_6952	6.75
cell_6967	6.75
cell_6978	6.75
cell_7008	6.75
cell_7013	6.75
cell_7031	6.75
cell_7034	6.75
cell_7035	6.75
cell_7050	6.75
