id	Foregut 2	Pharyngeal endoderm	Foregut 1	Midgut	Hindgut 2	Midgut/Hindgut	Hindgut 1	ExE endoderm
cell_108416	0.0015320761673270078	0.001547699239878221	0.0014772955041873225	0.001476054536202866	0.0014828515295353712	0.0014989096458773237	0.00129149671432857	1.9061851018559356e-06
cell_108429	0.001583189519243935	0.0015988830234724134	0.0015273814409592797	0.0015265640556618876	0.0015338097969993855	0.001549841008810617	0.0013405780546509552	2.241936663043708e-06
cell_108434	0.0015856731175910043	0.001601166743096096	0.001530551896678288	0.0015297532559406222	0.001536811838864177	0.0015527371520613555	0.0013456410394921809	2.4549444993809337e-06
cell_108436	0.00167111136562549	0.0016866748893056755	0.0016151588945409643	0.0016143069690497283	0.001620620845830379	0.0016375858608933915	0.0014212759328653434	2.6537920632109747e-06
cell_108449	0.0014684797390368597	0.0014838421093846396	0.001414828218288676	0.0014136212262027058	0.0014206146630828728	0.001436018963833805	0.0012352159199062339	1.7133064352682917e-06
cell_108468	0.0015365864665941506	0.0015521961026452112	0.0014816164484289511	0.0014805170531191703	0.0014874945488935008	0.0015034419936088635	0.0012963416920895626	1.997992379787024e-06
cell_108529	0.00035692291359754096	0.000327591719342915	0.000447501857547671	0.0004592726237625984	0.00045444992725679077	0.00042028347798764656	0.0008333662435664523	0.0001323529795609565
cell_108548	0.0015476746915243297	0.0015617774874998834	0.001496272685462627	0.001496052730378727	0.0015025419083034438	0.001517425231666012	0.0013238484954584237	2.822444766895179e-06
cell_108550	9.845688005009419e-06	8.497091150024056e-06	2.3873341878473177e-05	1.700805432367096e-05	1.2211017784935387e-05	1.2165305280072344e-05	2.275395350721058e-05	0.010644638171714111
cell_108571	0.0014840441960529342	0.0014990178000798059	0.0014310816283166405	0.001430257599613977	0.0014373233084948639	0.0014523593065072194	0.0012552592860238696	2.099606080369807e-06
cell_108602	0.0015837159608374735	0.0015989333135488072	0.0015296019686955066	0.001528557124199827	0.0015347675333987326	0.0015511014854391837	0.001342631650462427	2.281659691408454e-06
cell_108607	0.001533957781540629	0.0015487935805704196	0.0014812940076885494	0.0014802331727208314	0.0014862807902252817	0.001502167541833758	0.0012993899116019948	2.1757842273813334e-06
cell_108657	0.0014676471326313294	0.0014828790272860117	0.001414248871853326	0.0014131470663018499	0.0014201931032440745	0.0014354623518592368	0.0012358103538040533	1.8016737798514349e-06
cell_108659	0.00035021685030882745	0.00032360103664653804	0.00043507161793792444	0.0004430749540221184	0.00043580717726380793	0.0004070702325667491	0.000763291595603071	0.00020917440033153096
cell_108691	4.852457928580183e-06	4.042994404676908e-06	1.61573401686817e-05	9.812909799241812e-06	5.76416268129141e-06	6.020186867184965e-06	1.0547394232085488e-05	0.011407030068721844
cell_108705	0.0014834908985766329	0.0014986032316902276	0.0014302269660614439	0.0014292200026385297	0.0014361728949086482	0.0014514935751422308	0.0012514808168530634	1.973135576703929e-06
cell_108735	0.001542098751852914	0.0015576004705001756	0.0014874963753821787	0.0014864705348854284	0.001493402911526359	0.0015091961730126868	0.0013043792672674144	2.1619455911466505e-06
